"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"대전광역시",1524583,1532811,1531809,1518775,1514370,1502227,1489936,1474870,1463882,1452251,1446072,1442216
"동구",251945,250653,245493,239579,234959,230516,229071,226771,223021,222222,219751,217628
"중구",264125,264913,261165,256186,252490,248933,244421,240473,235550,230341,227108,223256
"서구",496513,498917,496132,490859,491011,487448,484663,481222,477880,473365,470374,464634
"유성구",306312,313968,327461,335312,343222,348428,349790,349373,351047,351277,356093,366845
"대덕구",205688,204360,201558,196839,192688,186902,181991,177031,176384,175046,172746,169853
"울산광역시",1147256,1156480,1166377,1173534,1172304,1165132,1155623,1148019,1136017,1121592,1110663,1103661
"중구",233013,234607,238825,244481,242536,238652,231973,223581,217595,212883,208132,208668
"남구",346836,349064,347759,343598,340714,335439,330732,323819,320064,313819,310638,307232
"동구",175479,178468,176668,174963,174514,169605,164642,159656,156806,154096,151711,152287
"북구",184088,185695,188733,191063,195285,200718,206434,217796,219014,218735,218670,216477
"울주군",207840,208646,214392,219429,219255,220718,221842,223167,222538,222059,221512,218997
"세종특별자치시",113117,122153,156125,210884,243048,280100,314126,340575,355831,371895,383591,386525
"세종시",113117,122153,156125,210884,243048,280100,314126,340575,355831,371895,383591,386525
"경기도",12093299,12234630,12357830,12522606,12716780,12873895,13077153,13239666,13427014,13565450,13589432,13630821
"수원시",1120258,1148157,1174228,1184624,1194041,1202628,1201166,1194465,1186078,1183714,1190964,1197257
"장안구",291757,300908,301196,299016,296479,293828,286433,278377,273661,273835,270524,270849
"권선구",332633,331773,339835,351053,358393,365653,377647,371754,368645,364136,367446,366167
"팔달구",206794,204805,203479,199180,198515,193311,180974,175866,174930,182321,192610,197213
"영통구",289074,310671,329718,335375,340654,349836,356112,368468,368842,363422,360384,363028
"성남시",978615,979534,974608,971424,974580,967510,954347,942724,940064,930948,922518,919747
"수정구",233997,228167,223539,219531,232841,236932,234133,234678,241701,235988,230460,235942
"중원구",253883,256349,251982,250004,237909,230366,224885,220041,216131,210777,210505,210848
"분당구",490735,495018,499087,501889,503830,500212,495329,488005,482232,484183,481553,472957
"의정부시",429147,430976,431112,433937,438457,441584,447026,451868,461710,463661,463724,464213
"안양시",611412,607877,600809,597789,597414,587764,576831,567044,550027,547178,548228,544660
"만안구",253492,250246,247315,247270,252353,254977,251512,244235,239413,238311,234394,230664
"동안구",357920,357631,353494,350519,345061,332787,325319,322809,310614,308867,313834,313996
"부천시",869944,863720,855586,848987,851380,850329,843768,829996,818383,806067,790128,779968
"원미구",446604,444207,442638,442898,-,-,-,-,-,-,-,-
"소사구",231363,229959,226400,222016,-,-,-,-,-,-,-,-
"오정구",191977,189554,186548,184073,-,-,-,-,-,-,-,-
"광명시",355560,353100,348560,344978,339484,332790,326841,316552,298599,292893,287945,280197
"평택시",434305,442034,449555,460532,470832,481530,495642,513027,537307,564288,578529,591022
"송탄출장소",-,-,-,-,-,-,-,-,0,-,0,0
"안중출장소",-,-,-,-,-,-,-,-,0,-,0,0
"동두천시",97175,97557,97595,97974,98277,97071,96226,94768,94353,93592,91546,88626
"안산시",715108,713666,707876,697885,689859,677710,660343,650918,654915,652726,641660,629308
"상록구",381556,382571,381508,379517,375857,370744,356311,344613,351888,350668,344664,334867
"단원구",333552,331095,326368,318368,314002,306966,304032,306305,303027,302058,296996,294441
"고양시",969916,990571,1006154,1027546,1039684,1041983,1044189,1066351,1079216,1079353,1076535,1074907
"덕양구",396559,410491,424423,441988,446233,448684,450449,466157,476962,482927,490088,496438
"일산동구",281949,283976,284207,285658,292612,293673,296223,297671,299716,298873,296122,291597
"일산서구",291408,296104,297524,299900,300839,299626,297517,302523,302538,297553,290325,286872
"과천시",71068,70578,70156,68946,63778,57527,58142,58289,63231,73345,78137,81000
"구리시",192341,189680,186820,186721,193763,200042,203553,199265,197454,191948,188701,187093
"남양주시",599539,618305,636256,653454,662154,665321,681828,701830,713321,733798,737353,732265
"풍양출장소",-,-,-,-,-,-,-,-,0,-,0,0
"오산시",200291,205460,208565,206828,208656,213437,220070,226379,229725,229983,229849,229656
"시흥시",399485,396765,394639,398256,402888,419664,448687,473682,500895,512030,512912,519715
"군포시",286841,286344,288408,287519,284890,281205,276916,275852,273791,268535,266213,261229
"의왕시",154757,159772,158482,157740,156763,155767,153932,161153,163795,163356,160221,158870
"하남시",146269,145096,148896,166713,211101,232487,254415,272455,293452,320087,326059,329861
"용인시",915959,941477,961026,975746,991126,1004081,1035126,1059609,1074176,1077508,1074971,1075566
"처인구",210524,212904,218400,221347,226130,231553,249118,253896,257498,260198,259288,261488
"기흥구",375875,393172,402206,409162,417163,419429,427719,436679,440835,441742,438235,436656
"수지구",329560,335401,340420,345237,347833,353099,358289,369034,375843,375568,377448,377422
"파주시",394201,401718,411348,423321,430781,437848,451848,454040,465617,483245,495315,497753
"이천시",204917,205479,205014,204935,210359,213142,214206,215834,218388,223177,222721,222098
"안성시",181608,182173,181896,180199,182896,182786,183579,183405,187012,189534,188842,189034
"김포시",287432,312305,340310,349990,363443,392092,423170,437221,473970,486508,484267,486172
"화성시",525490,530251,540862,596525,640890,691086,758722,815396,855248,887015,910814,944342
"화성시동부출장소",-,-,-,-,-,-,-,-,0,-,0,0
"화성시동탄출장소",-,-,-,-,-,-,-,-,0,-,0,0
"광주시",275656,286699,298858,312579,327723,345947,363782,372654,382054,387289,391462,391377
"양주시",200310,199143,202072,205184,205513,212146,216951,222314,230359,236368,243432,268026
"포천시",157559,156603,155798,155192,154763,152925,150676,148379,147274,148939,146701,143323
"여주시",-,109343,110386,111033,111563,111984,111525,111083,111897,112150,113150,114412
"여주군",109550,-,-,-,-,-,-,-,-,-,-,-
"연천군",45599,45610,45363,45725,45907,45431,44633,43824,43516,42721,42062,41584
"가평군",60794,61017,61213,62008,62448,62973,62918,62415,62377,62264,62150,62302
"양평군",102193,103620,105379,108316,111367,115105,116095,116874,118810,121230,122323,125238
"강원특별자치도",1538630,1542263,1544442,1549507,1550806,1550142,1543052,1541502,1542840,1538492,1536498,1527807
"춘천시",273364,274455,275791,277997,280707,280514,280640,281291,282765,284594,286664,286426
"원주시",323885,324837,327292,332995,337979,341337,344070,349215,354376,357757,360807,361503
"강릉시",217741,216806,215807,214560,213846,213952,212957,213442,213321,212965,211381,209439
"동해시",93897,95143,94562,93895,93297,92851,91272,90522,90593,90081,89426,88625
"태백시",49493,48794,48258,47501,47070,45888,44858,43866,42719,40844,39428,38702
"속초시",83579,83109,82432,81992,81793,82273,81682,81786,82665,82791,82806,82054
"삼척시",72463,73023,72314,70839,69599,68514,68326,67228,65243,63429,63455,62651
"홍천군",69727,70638,70451,70336,70076,70340,69949,69150,69242,68365,67977,67309
"횡성군",44615,44937,45373,45777,45991,46281,46726,46575,46472,46481,46532,46359
"영월군",40155,40150,40191,40216,40073,40067,39730,39127,38662,37904,37728,37332
"평창군",43627,43666,43660,43500,43318,43092,42610,42106,41681,40996,40990,40659
"정선군",39915,39985,39425,39197,38718,38173,37700,37271,36870,35675,34931,34202
"철원군",47968,47473,47590,48799,48013,47185,46413,45584,44699,43340,42256,41448
"화천군",25020,25079,27143,27020,26264,26022,25084,24917,24857,24195,23388,23007
"양구군",22799,23594,23888,24089,24010,23835,23408,22764,22278,21748,21383,21056
"인제군",32456,32517,32475,33255,32720,32582,32136,31672,31694,32165,32206,32020
"고성군",30124,30398,30269,30060,30114,30029,28144,27260,26757,27249,27274,27305
"양양군",27802,27659,27521,27479,27218,27207,27347,27726,27946,27913,27866,27710
"충청북도",1565628,1572732,1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427,1595058,1593469
"청주시",666852,672904,831521,831912,835197,835590,837749,839566,844993,848482,849573,852189
"상당구",240433,246128,179792,176424,173701,171129,176818,178352,190034,193827,196425,200575
"서원구",-,-,224727,220045,217120,216782,209404,203209,194720,192899,191273,186302
"흥덕구",426419,426776,252027,253426,253563,253912,254302,262137,265866,267429,268051,274594
"청원구",-,-,174975,182017,190813,193767,197225,195868,194373,194327,193824,190718
