범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
지능범죄,증수뢰,62,66,6,14,12,13,4,1,4,1,0,2,0,0,2,1,0,5,3,4,3,0,0,1,0,1,0,3,1,1,0,1,2,2,0,3,0,0,0,0,1,2,1,0,7,1,3,1,2,1,0,0,3,5,2,0,1,0,2,1,3,1,5,2,1,1,0,3,0,1,0,3,0,2,2,1,0,1,5,1,1,6,0,1,7,2,47
지능범죄,통화,450,47,44,96,35,57,5,3,28,1,3,2,9,1,7,8,0,16,35,26,8,12,6,28,3,3,1,21,2,8,6,9,14,4,6,8,0,0,0,2,7,6,0,4,7,6,0,4,4,3,1,4,3,7,2,0,1,6,4,0,1,0,5,1,4,4,6,7,0,0,1,3,1,0,3,0,2,0,1,2,4,2,0,1,7,4,52
지능범죄,문서인장,2520,830,528,540,311,351,261,40,187,6,41,51,26,26,61,75,37,116,161,213,89,154,31,104,55,21,37,140,17,106,41,79,285,34,18,92,40,24,10,13,47,55,2,23,211,30,3,28,30,37,26,38,44,148,83,13,5,64,135,23,19,24,61,44,47,35,34,56,26,14,12,34,11,26,71,53,86,17,16,64,53,168,492,27,672,124,1188
지능범죄,유가증권인지,61,14,52,9,0,2,7,0,5,0,0,0,0,0,0,1,0,0,0,5,2,4,0,2,0,1,1,2,0,1,1,2,0,0,0,2,0,0,0,1,1,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,5
지능범죄,사기,54270,22724,12040,15130,7084,7938,6233,1040,4794,248,1321,1592,896,1026,2027,2058,660,5505,4114,6813,2598,3918,903,2619,1030,542,920,3224,556,2290,963,2296,3686,971,634,2904,904,287,291,439,1841,1206,113,608,4282,937,105,467,678,877,609,841,1466,4041,2141,305,367,1496,3058,463,643,389,1747,1794,1129,862,1932,2818,576,219,316,818,463,524,2941,1303,3048,515,524,1841,1710,5522,930,971,3301,4170,13634
지능범죄,횡령,15958,3611,2192,3350,1425,1348,807,213,1482,63,365,317,238,246,501,540,90,1276,1069,1570,508,955,171,838,164,90,249,877,96,663,214,384,594,135,192,600,132,25,39,63,242,203,22,76,692,137,10,96,71,108,52,119,265,724,200,38,38,156,421,48,64,53,246,936,228,167,222,263,69,28,32,95,39,64,261,296,478,64,52,215,160,766,128,180,494,219,1926
지능범죄,배임,1009,290,119,189,82,75,87,5,57,14,6,25,11,19,38,37,7,48,67,68,30,61,21,39,14,11,12,77,11,21,22,39,75,17,9,46,7,9,4,9,19,15,3,11,48,9,4,12,9,8,11,11,32,50,22,11,4,19,44,7,16,8,22,19,407,5,23,29,10,6,9,10,1,11,34,32,48,6,12,30,20,69,10,10,44,33,284
풍속범죄,성풍속범죄,3902,1010,535,970,350,632,187,31,270,13,68,100,55,62,73,98,18,417,311,487,129,309,24,205,50,30,57,161,23,124,241,84,172,29,33,123,28,8,9,15,92,47,2,19,163,30,5,12,16,29,23,28,56,142,35,8,10,38,147,12,21,7,51,54,36,51,47,70,11,2,22,52,27,7,110,32,93,2,12,48,47,188,25,32,154,149,451
풍속범죄,도박범죄,809,1212,242,262,127,142,114,15,85,25,31,28,28,14,12,42,11,97,78,126,35,71,15,44,16,6,22,77,24,80,23,43,58,16,12,36,8,15,5,14,41,24,5,19,75,19,0,41,10,20,18,15,39,58,38,12,12,35,62,9,24,8,51,21,41,23,45,38,18,7,5,22,21,7,75,54,121,8,2,16,19,82,28,20,75,46,455
특별경제범죄,특별경제범죄,13821,4101,2187,3800,1210,1262,938,177,953,38,376,286,213,237,404,500,99,1019,1021,1311,494,763,131,585,187,84,256,618,112,510,290,495,1602,202,156,603,152,59,57,136,270,267,33,75,703,236,30,60,96,103,52,99,227,566,195,66,53,208,415,59,128,63,247,166,443,268,143,288,90,46,48,117,69,63,388,244,438,92,118,322,347,835,122,155,789,690,2017
마약범죄,마약범죄,1544,768,266,558,56,105,52,21,93,1,26,17,9,15,24,39,17,59,70,98,68,94,28,90,22,13,6,64,10,63,36,43,104,42,9,58,4,2,4,6,64,36,5,13,118,30,1,17,8,40,15,15,26,68,9,1,5,10,20,5,3,4,12,14,26,23,22,14,15,17,32,41,3,9,33,20,142,40,25,30,80,126,17,3,15,17,620
보건범죄,보건범죄,2886,1441,357,452,250,173,77,9,190,8,64,88,48,56,59,154,9,152,196,355,80,148,50,96,42,14,38,132,7,80,59,58,99,13,34,186,39,13,17,36,87,30,7,5,65,18,4,9,6,13,101,18,33,70,45,9,9,64,117,17,28,23,53,22,61,17,50,48,33,6,10,15,6,13,83,101,149,47,30,60,76,274,33,68,56,19,660
환경범죄,환경범죄,65,532,11,61,5,20,50,5,68,0,8,46,6,4,16,102,6,44,13,35,27,15,7,5,71,7,22,84,1,10,35,89,90,114,20,272,10,16,17,9,12,7,2,12,7,19,1,2,14,12,278,14,4,69,10,3,1,69,16,10,7,13,23,8,48,1,55,38,5,1,17,16,0,24,54,14,95,30,18,6,15,161,30,15,17,15,1485
교통범죄,교통범죄,61132,22894,22200,18173,13779,11967,9956,1398,7349,607,2169,3071,1578,1267,3289,4339,764,6974,7592,11159,6327,7238,2160,3348,2161,1061,2213,6283,1185,3052,2307,3641,5936,2250,1934,5762,1733,617,533,878,3506,2594,353,1338,8605,2146,122,1079,935,1767,930,1408,2272,6077,2138,820,596,1967,5033,913,1531,1067,2365,3070,3265,1968,2668,4105,1373,577,859,1339,782,993,5008,2080,4499,741,926,2275,1944,6683,1350,2378,6417,319,30914
노동범죄,노동범죄,183,59,144,29,12,67,17,2,30,0,15,7,9,2,4,63,2,31,11,39,34,7,2,39,1,2,1,13,0,6,16,6,12,10,1,19,0,647,2,0,4,2,1,0,12,2,0,1,4,0,3,0,2,6,3,1,0,1,4,0,2,2,11,3,5,10,2,2,3,0,0,0,2,5,21,8,30,2,0,17,2,6,10,35,35,3,77
안보범죄,안보범죄,29,0,5,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,4
선거범죄,선거범죄,213,80,63,59,42,26,48,8,20,4,6,8,9,9,4,9,7,8,25,24,15,10,12,23,3,6,7,11,19,11,21,12,11,8,0,11,16,3,4,8,2,14,8,12,11,10,1,13,6,2,4,6,5,10,20,7,12,14,26,19,17,8,48,20,22,2,17,18,22,10,17,13,9,8,30,5,8,3,19,2,18,27,9,9,32,7,412
병역범죄,병역범죄,3383,632,490,1010,263,448,212,115,348,14,83,112,63,38,58,303,58,291,246,354,185,241,100,139,115,27,85,194,52,241,90,181,135,85,64,166,50,34,7,8,105,44,5,9,191,53,3,21,37,26,27,33,96,360,65,7,14,78,111,11,33,17,39,41,42,61,32,171,14,10,13,22,9,14,120,91,120,26,26,176,83,184,28,53,107,97,626
기타범죄,기타범죄,41780,19334,8076,12918,4552,5199,4672,646,3292,318,982,1203,763,689,1415,2685,398,3867,3220,5322,1802,3260,1006,1955,903,456,954,2641,343,1798,932,1552,3297,765,707,2619,801,1281,409,494,1357,1021,165,437,3141,711,80,409,443,684,588,723,1071,2592,1910,749,242,870,2206,369,542,357,1020,842,2872,837,799,1324,341,181,346,588,248,335,2785,2207,1971,467,555,1128,888,3728,1480,1240,3189,1577,20941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
