범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
지능범죄,직무유기,111,64,31,13,20,10,9,10,7,1,2,1,2,2,2,2,2,6,6,7,1,4,1,5,2,4,0,10,4,2,3,2,4,2,2,1,2,1,1,4,7,3,0,3,8,1,0,9,3,1,2,2,1,5,5,2,0,0,5,1,0,0,2,0,3,0,1,2,3,0,0,2,0,1,0,2,0,0,1,3,2,12,1,0,1,0,74
지능범죄,직권남용,129,34,23,15,8,15,13,4,9,0,0,0,5,1,0,2,0,3,15,17,2,7,1,8,0,3,0,6,2,2,2,0,1,1,0,0,0,1,1,0,0,3,1,0,4,2,1,3,2,1,2,0,4,9,1,0,0,2,4,1,0,0,0,2,0,2,1,1,1,0,0,4,0,2,0,2,5,0,0,3,3,3,0,0,5,0,33
지능범죄,증수뢰,45,28,9,12,9,6,6,3,3,1,0,0,1,0,1,1,1,4,1,2,1,1,0,3,1,0,0,2,1,3,0,2,1,1,1,4,1,1,1,1,1,2,0,3,6,0,1,1,2,1,0,0,1,2,2,0,0,1,5,0,1,0,2,2,1,0,0,1,0,0,0,0,1,2,2,2,6,0,1,2,4,5,1,1,3,0,37
지능범죄,통화,867,53,39,131,19,78,19,2,36,11,7,7,16,3,7,24,1,16,61,45,3,16,7,20,3,7,10,23,3,22,8,8,20,5,5,10,5,0,0,1,6,11,1,5,16,6,1,1,2,1,0,5,3,19,4,1,0,4,3,2,0,0,2,3,1,4,3,6,0,1,1,4,2,0,5,0,0,0,0,5,1,13,0,1,15,3,32
지능범죄,문서인장,2932,1212,558,668,444,403,279,39,198,21,47,61,68,48,49,134,32,228,210,298,81,238,42,113,48,33,54,193,17,124,39,97,141,53,44,126,65,22,15,20,68,73,22,39,229,27,9,34,45,41,21,45,56,133,67,20,12,83,226,33,46,9,67,65,100,83,62,93,24,12,21,54,30,19,91,70,110,13,46,54,77,237,25,45,127,90,848
지능범죄,유가증권인지,101,6,4,12,6,2,0,1,3,0,3,2,2,1,1,7,2,6,1,4,3,4,0,1,1,0,2,2,0,1,0,2,0,1,1,2,0,0,0,0,1,2,0,0,1,2,0,0,1,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,1,0,1,1,1,1,0,0,0,1,9
지능범죄,사기,51561,20372,10547,13175,6753,7065,4873,562,3795,161,1044,1298,1141,1146,1714,2190,453,5094,4090,5517,2311,4221,697,2208,949,508,809,2925,337,1859,1066,1990,2313,839,490,2184,942,290,340,303,1787,973,138,448,3335,940,74,405,531,1454,554,779,1076,3248,2195,330,363,1239,2916,513,568,183,1201,913,1753,877,1065,2621,393,186,256,1324,510,454,2395,1426,2666,455,447,1284,1312,5568,728,806,2310,1812,14670
지능범죄,횡령,15367,2971,1892,2997,1516,1328,827,189,1185,79,373,263,256,207,405,507,87,1028,1110,1211,429,841,160,733,164,99,178,691,69,542,145,392,486,120,161,625,178,39,42,62,257,181,14,73,555,167,8,57,72,93,73,93,207,608,172,38,34,146,361,63,65,23,210,153,174,223,182,330,54,22,35,94,44,48,262,490,339,59,56,191,127,765,94,91,626,134,1936
지능범죄,배임,1024,312,124,225,121,72,94,11,71,6,25,30,10,17,21,34,14,66,76,76,25,44,17,23,22,12,8,64,6,18,10,36,33,12,13,70,13,13,8,11,27,17,3,14,37,12,0,15,6,12,13,18,24,35,28,3,5,14,46,11,22,10,21,6,19,5,24,36,4,4,4,11,6,8,25,24,39,11,6,17,34,78,9,11,21,15,661
풍속범죄,성풍속범죄,3498,1064,643,1228,266,336,174,29,223,32,74,59,105,64,64,91,22,225,350,394,113,257,35,276,37,27,73,186,27,115,60,47,188,22,21,82,36,14,5,10,49,49,2,16,151,29,1,23,8,21,17,22,46,157,39,13,14,21,109,9,20,2,31,30,26,60,37,68,9,0,11,16,32,10,64,35,82,7,5,49,46,188,20,25,167,37,274
풍속범죄,도박범죄,2149,1137,943,483,401,560,752,28,128,3,70,89,26,32,45,109,13,185,248,290,80,146,21,257,23,16,37,119,23,73,30,108,69,25,98,82,21,13,13,22,54,30,9,26,246,37,2,76,30,44,33,47,68,127,190,29,20,192,236,14,20,3,89,76,61,117,184,221,20,9,20,43,80,20,118,115,82,8,13,55,52,309,75,47,244,140,748
특별경제범죄,특별경제범죄,17109,8134,2756,3741,1616,1465,1159,357,1010,40,756,317,244,314,398,555,104,1054,1459,1402,549,1039,209,746,173,118,236,614,106,562,186,486,674,228,133,605,156,73,50,108,255,301,24,74,682,160,15,71,64,129,80,116,279,724,215,45,51,214,420,62,87,25,238,221,209,231,183,386,90,34,26,154,75,63,478,349,585,82,72,272,455,997,140,643,713,902,2293
마약범죄,마약범죄,1449,963,334,641,75,117,78,8,92,2,26,19,30,9,44,63,9,80,66,95,55,110,29,35,15,11,8,90,5,117,16,38,111,18,7,55,9,3,9,4,69,62,2,35,151,52,2,7,14,28,20,31,37,59,10,5,2,9,44,1,9,2,19,25,39,26,23,39,20,31,43,16,29,18,16,42,152,40,25,33,128,164,27,5,34,19,720
보건범죄,보건범죄,3875,2365,289,957,249,213,226,22,214,5,104,64,56,81,56,359,21,132,204,324,72,147,41,113,94,21,65,140,18,108,58,64,130,29,54,197,54,30,14,74,65,51,2,55,121,56,0,12,23,24,48,14,45,83,87,14,31,68,155,32,31,5,37,41,53,23,48,78,37,4,11,29,9,13,92,53,131,39,36,93,102,261,20,26,88,26,951
환경범죄,환경범죄,58,223,11,85,8,14,47,4,41,8,10,66,4,2,3,63,5,19,13,20,79,106,9,8,68,3,22,86,1,7,25,65,78,160,15,213,21,18,19,12,21,11,1,7,8,5,1,1,11,5,8,31,2,36,17,2,0,41,5,6,8,5,24,3,1291,1,43,29,5,0,29,14,1,37,53,31,78,24,15,8,46,69,23,15,13,23,523
교통범죄,교통범죄,74270,32944,31682,30972,22137,14524,14105,1234,12280,934,3141,4171,2225,2801,4124,5542,1158,10437,12472,17841,10640,13356,2778,5789,2771,2064,2738,8695,1765,3726,3023,6456,9630,2872,2771,8262,2387,1530,1330,1568,6378,5004,616,1773,10373,4168,171,1216,1326,2019,1456,1617,2455,8371,2834,1018,695,3088,5580,1095,2450,253,4356,5024,4975,2344,3794,8552,1916,920,1112,1609,1227,1154,7488,4820,7346,1243,1908,3760,3749,12594,2430,4060,11642,1287,43990
노동범죄,노동범죄,509,209,96,80,29,96,75,6,47,0,12,12,12,4,5,35,0,54,25,59,14,13,3,359,4,0,1,24,1,57,5,11,12,12,1,13,5,0,0,1,5,8,5,2,19,5,7,1,0,6,2,2,11,19,8,1,2,4,20,3,3,0,27,7,6,11,3,21,2,1,3,3,10,0,19,21,33,1,3,11,12,78,70,3,8,3,67
안보범죄,안보범죄,19,6,2,4,8,1,2,1,2,0,0,0,0,1,0,1,0,2,2,5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,3
선거범죄,선거범죄,180,60,28,64,7,17,33,7,10,1,9,2,3,2,3,13,1,12,11,17,10,23,5,5,7,2,8,11,3,4,6,10,7,5,0,3,2,4,2,4,2,5,2,8,6,1,0,5,1,1,1,4,0,12,8,4,3,19,22,5,5,3,4,3,24,0,1,10,1,0,10,11,0,3,6,4,14,1,3,8,18,23,4,5,12,6,129
병역범죄,병역범죄,4120,662,615,1281,330,555,222,131,347,2,63,110,75,63,64,236,41,311,314,415,183,268,73,135,117,15,119,203,38,160,59,142,141,82,62,189,41,26,6,9,72,61,6,25,315,50,12,27,66,74,32,38,88,604,89,21,15,65,161,18,17,2,98,65,59,96,50,199,20,10,16,25,15,20,137,104,173,37,15,164,80,292,41,84,145,62,761
기타범죄,기타범죄,44407,22296,10712,14952,4809,5268,4784,495,4025,358,1476,2175,1123,1101,1863,3232,454,6287,6863,8542,4021,6007,1158,2876,968,874,1837,4291,616,2064,1364,1705,5288,883,1217,4984,1252,523,593,626,1378,1188,154,434,3713,672,54,392,439,2602,634,635,946,2523,2014,323,298,1539,2871,369,390,103,1758,823,1143,876,913,1414,413,211,233,551,285,282,1828,1223,2036,392,534,1476,1349,4535,2308,1265,3480,1187,17984
